#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	Assemblies
Acanthaster planci	Eukaryota	Animals	Other Animals	383.86	-	1	-	3
Acanthisitta chloris	Eukaryota	Animals	Birds	1035.88	-	-	-	1
Acanthochromis polyacanthus	Eukaryota	Animals	Fishes	991.585	-	-	-	1
Achipteria coleoptrata	Eukaryota	Animals	Other Animals	88.4439	-	-	-	1
Acinonyx jubatus	Eukaryota	Animals	Mammals	2372.55	-	1	-	1
Acromyrmex echinatior	Eukaryota	Animals	Insects	295.945	-	-	-	1
Acropora digitifera	Eukaryota	Animals	Other Animals	447.497	-	1	-	1
Acyrthosiphon pisum	Eukaryota	Animals	Insects	541.692	-	1	-	1
Adineta vaga	Eukaryota	Animals	Other Animals	217.934	-	-	-	1
Aedes aegypti	Eukaryota	Animals	Insects	1383.97	3	1	-	3
Aedes albopictus	Eukaryota	Animals	Insects	2247.31	-	1	-	3
Aethina tumida	Eukaryota	Animals	Insects	234.344	-	-	-	1
Agapornis roseicollis	Eukaryota	Animals	Birds	1121.79	-	-	-	1
Agrilus planipennis	Eukaryota	Animals	Insects	353.563	-	1	-	1
Ailuropoda melanoleuca	Eukaryota	Animals	Mammals	2299.51	-	1	-	2
Ailurus fulgens	Eukaryota	Animals	Mammals	2342.94	-	-	-	1
Alces americanus	Eukaryota	Animals	Mammals	76.7277	-	-	-	6
Alligator mississippiensis	Eukaryota	Animals	Reptiles	2161.73	-	1	-	3
Alligator sinensis	Eukaryota	Animals	Reptiles	2270.57	-	1	-	1
Amazona aestiva	Eukaryota	Animals	Birds	1129.54	-	-	-	1
Amazona vittata	Eukaryota	Animals	Birds	1175.4	-	-	-	1
Ambystoma mexicanum	Eukaryota	Animals	Amphibians	353.835	-	-	-	1
Ammotragus lervia	Eukaryota	Animals	Mammals	2650.84	-	-	-	1
Amphilophus citrinellus	Eukaryota	Animals	Fishes	844.903	-	-	-	1
Amphimedon queenslandica	Eukaryota	Animals	Other Animals	166.7	-	1	-	1
Amphinemura sulcicollis	Eukaryota	Animals	Insects	271.925	-	-	-	1
Amphiprion ocellaris	Eukaryota	Animals	Fishes	-	-	-	-	-
Amyelois transitella	Eukaryota	Animals	Insects	406.468	-	-	-	1
Amynthas corticis	Eukaryota	Animals	Other Animals	1017.22	-	-	-	2
Anas platyrhynchos	Eukaryota	Animals	Birds	1105.05	-	1	-	2
Anas zonorhyncha	Eukaryota	Animals	Birds	1310.8	-	-	-	1
Ancylostoma ceylanicum	Eukaryota	Animals	Roundworms	313.093	-	-	-	2
Ancylostoma duodenale	Eukaryota	Animals	Roundworms	332.876	-	-	-	1
Angiostrongylus cantonensis	Eukaryota	Animals	Roundworms	253.243	-	-	-	3
Angiostrongylus costaricensis	Eukaryota	Animals	Roundworms	262.783	-	-	-	1
Anguilla anguilla	Eukaryota	Animals	Fishes	1018.7	-	-	-	1
Anguilla japonica	Eukaryota	Animals	Fishes	1151.07	-	1	-	2
Anguilla rostrata	Eukaryota	Animals	Fishes	1413.03	-	1	-	1
Anisakis simplex	Eukaryota	Animals	Roundworms	126.87	-	-	-	1
Anolis carolinensis	Eukaryota	Animals	Reptiles	1799.14	6	1	-	1
Anopheles albimanus	Eukaryota	Animals	Insects	173.339	5	-	-	1
Anopheles arabiensis	Eukaryota	Animals	Insects	246.568	-	-	-	1
Anopheles atroparvus	Eukaryota	Animals	Insects	224.29	-	-	-	1
Anopheles christyi	Eukaryota	Animals	Insects	172.659	-	-	-	1
Anopheles coluzzii	Eukaryota	Animals	Insects	224.417	-	-	-	1
Anopheles cracens	Eukaryota	Animals	Insects	326.466	-	-	-	1
Anopheles culicifacies	Eukaryota	Animals	Insects	202.999	-	-	-	1
Anopheles darlingi	Eukaryota	Animals	Insects	136.936	-	-	-	1
Anopheles dirus	Eukaryota	Animals	Insects	216.308	-	-	-	1
Anopheles epiroticus	Eukaryota	Animals	Insects	223.487	-	-	-	1
Anopheles farauti	Eukaryota	Animals	Insects	183.103	-	-	-	2
Anopheles farauti No. 4	Eukaryota	Animals	Insects	146.379	-	-	-	1
Anopheles funestus	Eukaryota	Animals	Insects	225.224	-	-	-	1
Anopheles gambiae	Eukaryota	Animals	Insects	265.027	5	1	-	4
Anopheles koliensis	Eukaryota	Animals	Insects	151.11	-	-	-	1
Anopheles maculatus	Eukaryota	Animals	Insects	462.689	-	-	-	2
Anopheles melas	Eukaryota	Animals	Insects	224.162	-	-	-	1
Anopheles merus	Eukaryota	Animals	Insects	288.049	-	-	-	1
Anopheles minimus	Eukaryota	Animals	Insects	201.793	-	-	-	1
Anopheles nili	Eukaryota	Animals	Insects	98.32	-	-	-	1
Anopheles punctulatus	Eukaryota	Animals	Insects	146.157	-	-	-	1
