Transcript Exonic_reads_sense Junction_reads_sense Exonic_reads_antisense Junction_reads_antisense
BL84132_cuf0 0 0 0 0
BL17081_evm0 0 0 0 0
BL07996_cuf0 0 0 0 0
BL08652_cuf0 0 0 0 0
BL01249_evm2 0 0 0 0
BL08510_cuf2 0 1 0 0
BL21275_evm0 0 0 0 0
BL17179_cuf0 0 0 0 0
BL05244_cuf0 0 1 0 0
BL05412_evm0 0 0 0 0
BL03323_evm0 0 0 0 0
BL03619_evm0 0 0 0 0
BL09179_cuf0 0 0 0 0
BL20875_cuf0 0 0 0 0
BL27640_evm0 1 0 0 0
BL14644_cuf2 0 0 0 0
BL96878_cuf2 0 0 0 0
BL19957_cuf0 1 0 0 0
BL33819_cuf1 0 0 0 0
BL07316_cuf0 0 0 0 0
BL05818_cuf0 2 0 0 0
BL09712_evm0 0 0 0 0
BL82392_cuf0 0 0 0 0
BL10484_evm0 2 0 0 0
BL08985_cuf0 0 0 0 0
BL40110_cuf0 0 0 0 0
BL14964_cuf1 0 0 0 0
BL45381_cuf1 0 0 0 0
BL22650_cuf0 0 0 0 0
BL73704_cuf1 0 0 0 0
BL24758_evm0 0 0 0 0
BL10894_cuf2 0 0 0 0
BL03515_cuf13 0 0 0 0
BL24005_evm0 0 0 0 0
BL53283_cuf0 0 0 0 0
BL25928_evm0 0 0 0 0
BL11093_evm0 0 0 0 0
BL97414_cuf7 0 0 0 0
BL02095_cuf0 0 0 0 0
BL84417_cuf0 0 0 0 0
BL72192_cuf0 0 2 0 0
BL96223_cuf1 0 0 0 0
BL33465_cuf0 0 0 0 0
BL32000_evm0 0 0 0 0
BL18891_cuf1 0 0 0 0
BL24533_cuf1 0 0 0 0
BL96370_cuf0 0 0 0 1
BL24259_cuf0 1 0 0 0
BL05494_evm1 0 0 0 0
BL01289_cuf0 0 2 0 0
BL38308_cuf0 0 0 0 0
BL21793_cuf0 0 0 0 0
BL44994_cuf5 0 1 0 0
BL04849_cuf1 1 0 0 0
BL00987_evm1 0 0 0 0
BL00953_evm0 0 2 0 0
BL15631_cuf1 28 0 0 0
BL85005_cuf0 0 0 0 0
BL25677_evm0 0 0 0 0
BL04790_cuf0 0 0 0 0
BL14134_cuf0 0 0 0 0
BL03243_cuf0 1 0 0 0
BL07822_cuf0 0 0 0 0
BL23555_cuf0 0 0 0 0
BL11148_evm0 0 0 0 0
BL08693_cuf0 5 0 0 0
BL17496_cuf1 0 0 0 0
BL12703_cuf3 0 0 0 0
BL14843_cuf0 0 0 0 0
BL10295_cuf0 0 0 0 0
BL03167_cuf0 0 7 0 0
BL96442_cuf10 0 0 0 0
BL96709_cuf0 0 0 0 0
BL01544_cuf3 0 0 0 0
BL91140_cuf1 0 0 0 0
BL18337_evm7 0 0 0 0
BL21201_evm4 0 0 0 0
BL02410_cuf3 0 0 0 0
BL23134_evm1 0 0 0 0
BL22767_cuf0 0 0 0 0
BL95752_evm0 0 0 0 0
BL17437_cuf1 0 0 0 0
BL14271_evm0 0 0 0 0
BL23874_evm0 0 0 0 0
BL30554_evm0 0 0 0 0
BL25977_evm0 0 0 0 0
BL95138_evm1 0 0 0 0
BL20756_cuf0 0 0 0 0
BL23268_cuf0 0 1 0 0
BL00404_evm0 0 0 0 0
BL19792_cuf0 2 0 0 0
BL33618_cuf0 0 0 0 0
BL08486_cuf1 0 1 0 0
BL50638_cuf0 0 0 0 0
BL04219_cuf3 0 0 0 0
BL26744_evm0 0 0 0 0
