Hairpin_ID Sample Reads_for_5p_RNA Reads_for_3p_RNA
1129 embryon_15h 9 3
1129 embryon_36h 126 13
1129 embryon_60h 102 59
1129 embryon_8h 190 36
1129 femelle 15 4
1129 male 255 8
11706 embryon_15h 1 0
11706 embryon_36h 7 0
11706 embryon_60h 25 0
11706 embryon_8h 40 0
11706 femelle 2606 3
11706 male 2235 1
1175 embryon_15h 7 100
1175 embryon_36h 32 2123
1175 embryon_60h 19 4727
1175 embryon_8h 1 10
1175 femelle 0 25
1175 male 0 12
12620 embryon_15h 21 1
12620 embryon_36h 60 0
12620 embryon_60h 81 0
12620 embryon_8h 296 5
12620 femelle 43454 1
12620 male 13021 0
12622 embryon_15h 8 0
12622 embryon_36h 52 14
12622 embryon_60h 126 14
12622 embryon_8h 169 10
12622 femelle 8811 848
12622 male 6260 123
14068 embryon_15h 405 4
14068 embryon_36h 341 45
14068 embryon_60h 364 85
14068 embryon_8h 9581 46
14068 femelle 24408 943
14068 male 6691 577
1890 embryon_15h 46 21
1890 embryon_36h 1007 526
1890 embryon_60h 2606 1233
1890 embryon_8h 142 51
1890 femelle 533 512
1890 male 250 247
1894 embryon_15h 8 0
1894 embryon_36h 35 2
1894 embryon_60h 604 26
1894 embryon_8h 68 5
1894 femelle 516 84
1894 male 289 36
192 embryon_15h 6 531
192 embryon_36h 19 1543
192 embryon_60h 22 1768
192 embryon_8h 118 5474
192 femelle 1 1380
192 male 3 2494
1951 embryon_15h 0 195
1951 embryon_36h 106 18498
1951 embryon_60h 433 129198
1951 embryon_8h 38 4051
1951 femelle 5 7342
1951 male 7 1845
1970 embryon_15h 0 0
1970 embryon_36h 87 26
1970 embryon_60h 249 43
1970 embryon_8h 11 1
1970 femelle 1 0
1970 male 2 0
2011 embryon_15h 1 0
2011 embryon_36h 822 10
2011 embryon_60h 1413 9
2011 embryon_8h 18 2
2011 femelle 2010 1
2011 male 8646 1
2026 embryon_15h 1 4
2026 embryon_36h 5 58
2026 embryon_60h 3 145
2026 embryon_8h 11 90
2026 femelle 2 176
2026 male 5 102
2134 embryon_15h 0 0
2134 embryon_36h 2 0
2134 embryon_60h 6 4
2134 embryon_8h 1 8
2134 femelle 547 2517
2134 male 272 15982
2161 embryon_15h 0 2
2161 embryon_36h 0 255
2161 embryon_60h 0 1291
2161 embryon_8h 3 117
2161 femelle 0 907
2161 male 0 544
2162 embryon_15h 3 277
2162 embryon_36h 5 1621
2162 embryon_60h 8 4279
2162 embryon_8h 3 2606
2162 femelle 1 5780
2162 male 3 4570
2163 embryon_15h 7 0
2163 embryon_36h 166 8
2163 embryon_60h 1496 27
2163 embryon_8h 230 18
2163 femelle 570 10
2163 male 315 1
2246 embryon_15h 0 0
2246 embryon_36h 5 0
2246 embryon_60h 7 0
2246 embryon_8h 12 0
2246 femelle 1247 7
2246 male 6790 0
2255 embryon_15h 44 0
2255 embryon_36h 136 25
2255 embryon_60h 125 37
2255 embryon_8h 1045 9
2255 femelle 22546 593
2255 male 15443 265
2530 embryon_15h 5 249
2530 embryon_36h 2 1482
2530 embryon_60h 5 3985
2530 embryon_8h 17 2338
2530 femelle 0 5499
2530 male 7 4343
2582 embryon_15h 103 583
2582 embryon_36h 478 4979
2582 embryon_60h 1189 19660
2582 embryon_8h 231 2200
2582 femelle 48 9169
2582 male 31 6358
2583 embryon_15h 9 167
2583 embryon_36h 160 3333
2583 embryon_60h 271 26495
2583 embryon_8h 23 255
2583 femelle 3 11978
2583 male 10 18823
2605 embryon_15h 21 797
2605 embryon_36h 59 8583
2605 embryon_60h 59 20127
2605 embryon_8h 112 684
2605 femelle 0 5
2605 male 0 3
2606 embryon_15h 169 171
2606 embryon_36h 6674 828
2606 embryon_60h 6327 835
2606 embryon_8h 900 548
2606 femelle 3305 3
2606 male 25584 3
3396 embryon_15h 24 55
3396 embryon_36h 462 716
3396 embryon_60h 287 791
3396 embryon_8h 376 249
3396 femelle 40 233
3396 male 12 146
3510 embryon_15h 53 25856
3510 embryon_36h 562 259461
3510 embryon_60h 216 585170
3510 embryon_8h 253 122286
3510 femelle 30 776592
3510 male 31 284068
3588 embryon_15h 498 0
3588 embryon_36h 532 8
3588 embryon_60h 721 14
3588 embryon_8h 16038 50
3588 femelle 20467 239
3588 male 1704 189
36 embryon_15h 3 153
36 embryon_36h 102 8874
36 embryon_60h 44 20478
36 embryon_8h 13 165
36 femelle 3 18081
36 male 3 12408
4429 embryon_15h 0 0
4429 embryon_36h 195 0
4429 embryon_60h 366 0
4429 embryon_8h 5 0
4429 femelle 3 1
4429 male 2 0
4582 embryon_15h 0 0
4582 embryon_36h 1 0
4582 embryon_60h 1 0
4582 embryon_8h 2 0
4582 femelle 784 0
4582 male 2654 20
462 embryon_15h 1 98
462 embryon_36h 8 1641
462 embryon_60h 0 4083
462 embryon_8h 0 1978
462 femelle 0 691
462 male 0 500
4686 embryon_15h 0 0
4686 embryon_36h 8507 2
4686 embryon_60h 9204 14
4686 embryon_8h 6 0
4686 femelle 166 0
4686 male 187 3
4694 embryon_15h 1 0
4694 embryon_36h 2 0
4694 embryon_60h 3 0
4694 embryon_8h 27 1
4694 femelle 512 11
4694 male 2596 0
4717 embryon_15h 1 9
4717 embryon_36h 1 41
4717 embryon_60h 4 46
4717 embryon_8h 9 119
4717 femelle 1 57
4717 male 2 12
4748 embryon_15h 30 31
4748 embryon_36h 1694 335
4748 embryon_60h 9333 629
4748 embryon_8h 668 75
4748 femelle 1102 8
4748 male 666 6
4769 embryon_15h 13 4
4769 embryon_36h 138 24
4769 embryon_60h 210 32
4769 embryon_8h 339 42
4769 femelle 31 5
4769 male 11 1
49 embryon_15h 0 11
49 embryon_36h 15 4704
49 embryon_60h 72 16944
49 embryon_8h 0 30
49 femelle 7 10456
49 male 0 9016
511 embryon_15h 0 421
511 embryon_36h 28 55466
511 embryon_60h 147 703185
511 embryon_8h 0 14068
511 femelle 33 6195686
511 male 27 6023120
521 embryon_15h 0 0
521 embryon_36h 12 8
521 embryon_60h 39 219
521 embryon_8h 1 29
521 femelle 0 4
521 male 0 2
5394 embryon_15h 0 0
5394 embryon_36h 3 11
5394 embryon_60h 138 333
5394 embryon_8h 40 3
5394 femelle 3 107
5394 male 0 250
563 embryon_15h 0 0
563 embryon_36h 11 2
563 embryon_60h 251 8
563 embryon_8h 5 0
563 femelle 26 0
563 male 0 0
6135 embryon_15h 29 6407
6135 embryon_36h 36 26426
6135 embryon_60h 48 35420
6135 embryon_8h 69 59487
6135 femelle 2 4431
6135 male 15 6108
685 embryon_15h 1 0
685 embryon_36h 66 25
685 embryon_60h 250 47
685 embryon_8h 15 0
685 femelle 0 0
685 male 3 0
8012 embryon_15h 73 580
8012 embryon_36h 108 1566
8012 embryon_60h 86 1935
8012 embryon_8h 288 6238
8012 femelle 8 1803
8012 male 13 3299
8140 embryon_15h 0 0
8140 embryon_36h 2 0
8140 embryon_60h 4 0
8140 embryon_8h 5 2
8140 femelle 1288 3
8140 male 6723 0
8178 embryon_15h 1 0
8178 embryon_36h 1 0
8178 embryon_60h 42 0
8178 embryon_8h 2 9
8178 femelle 1043 7
8178 male 268 0
8350 embryon_15h 2 0
8350 embryon_36h 23 0
8350 embryon_60h 82 0
8350 embryon_8h 92 1
8350 femelle 11570 0
8350 male 11990 0
8653 embryon_15h 6072 0
8653 embryon_36h 54587 0
8653 embryon_60h 147494 0
8653 embryon_8h 6243 2
8653 femelle 20992 0
8653 male 6126 0
8661 embryon_15h 18 10
