Transcript Sense_junction_reads Antisense_junction_reads
BL00236_cuf2 1 0
BL00347_evm20 1 0
BL00360_evm2 0 8
BL00386_cuf0 1 0
BL00409_cuf4 1 0
BL00439_evm0 0 1
BL00594_cuf0 1 0
BL00621_cuf6 1 0
BL00788_evm0 1 0
BL01002_cuf0 1 0
BL01136_evm0 1 0
BL01141_evm0 1 0
BL01184_evm8 1 0
BL01332_evm0 1 0
BL01350_cuf20 1 0
BL01474_cuf0 0 1
BL01483_cuf2 0 4
BL01565_cuf2 1 0
BL01644_cuf5 1 0
BL01864_cuf6 1 0
BL02002_cuf3 1 0
BL02034_evm2 1 0
BL02103_cuf16 2 0
BL02225_cuf6 1 0
BL02262_cuf6 1 0
BL02334_cuf2 1 0
BL02385_evm4 1 0
BL02527_cuf1 1 0
BL02557_cuf6 1 0
BL02659_cuf4 1 0
BL02742_cuf4 2 0
BL02749_cuf0 0 1
BL02762_cuf6 1 0
BL02842_cuf0 2 0
BL02885_cuf1 1 0
BL02932_cuf4 1 0
BL03040_evm0 0 1
BL03162_cuf2 0 1
BL03167_cuf0 1 0
BL03225_evm0 1 0
BL03250_evm2 1 0
BL03302_cuf0 1 0
BL03321_evm6 1 0
BL03342_cuf2 1 0
BL03358_evm6 1 0
BL03377_evm17 1 0
BL03397_cuf4 1 0
BL03439_cuf9 1 0
BL03451_cuf17 3 0
BL03457_cuf2 1 0
BL03580_evm0 1 0
BL03815_evm21 1 0
BL03829_cuf0 1 0
BL03932_evm15 1 0
BL03940_cuf1 2 0
BL03969_cuf0 1 0
BL03970_evm17 0 1
BL04064_cuf0 1 0
BL04096_cuf0 1 0
BL04134_cuf5 1 0
BL04411_evm10 0 1
BL04505_evm6 1 0
BL04533_cuf24 1 0
BL04687_evm8 1 0
BL04885_cuf20 2 0
BL04915_cuf0 1 0
BL05074_cuf2 2 0
BL05088_evm10 1 0
BL05353_evm6 1 0
BL05419_cuf8 2 0
BL05422_evm0 2 0
BL05428_cuf0 1 0
BL05432_cuf1 1 0
BL05470_cuf0 3 0
BL05478_cuf0 1 0
BL05511_cuf0 1 0
BL05604_cuf0 0 7
BL05605_cuf10 1 0
BL05751_cuf0 1 0
BL05816_cuf0 0 1
BL05867_cuf0 1 0
BL05870_cuf9 1 0
BL05896_cuf0 0 1
BL05933_cuf22 1 0
BL05965_cuf1 1 0
BL05969_cuf3 1 0
BL06031_cuf7 1 0
BL06053_cuf3 1 0
BL06071_cuf2 1 0
BL06117_evm2 0 1
BL06142_cuf1 1 0
BL06171_cuf0 1 0
BL06329_cuf8 1 0
BL06572_cuf4 1 0
BL06594_cuf0 1 0
BL06607_evm1 1 0
BL06685_cuf0 1 0
BL06723_evm1 1 0
BL07021_evm1 47 0
BL07092_cuf4 1 0
BL07172_evm3 2 0
BL07211_cuf1 0 2
BL07333_evm0 1 0
BL07437_cuf0 0 8
BL07474_evm7 1 0
BL07763_cuf3 1 0
BL07808_evm0 1 0
BL07833_evm0 1 0
BL07850_cuf0 1 0
BL07938_cuf10 1 0
BL07967_cuf0 1 0
BL08005_evm0 1 0
BL08018_cuf9 2 0
BL08039_cuf2 1 0
BL08099_cuf6 1 0
BL08150_cuf0 2 0
BL08174_cuf4 1 0
BL08185_evm0 1 0
BL08194_evm7 1 0
BL08274_cuf0 1 0
BL08474_cuf0 2 0
BL08633_cuf2 2 0
BL08684_cuf0 1 0
BL08720_cuf0 1 0
BL08965_cuf3 1 0
BL09030_evm2 1 0
BL09032_cuf1 1 0
BL09088_cuf4 5 0
BL09234_cuf0 2 0
BL09246_cuf1 1 0
BL09248_cuf3 1 0
BL09289_cuf0 0 1
BL09334_evm3 1 0
BL09432_cuf4 0 1
BL09526_cuf7 1 0
BL09580_evm0 1 0
BL09594_cuf12 1 0
BL09687_cuf1 1 0
BL09898_cuf0 1 0
BL09908_evm2 1 0
BL09985_cuf1 1 0
BL10052_cuf14 0 1
BL10068_cuf0 0 1
BL10168_cuf5 2 0
BL10321_cuf6 1 0
BL10374_cuf4 2 0
BL10443_evm0 3 0
BL10461_cuf0 1 0
BL10542_evm0 1 0
BL10569_cuf0 1 0
BL10577_cuf17 1 0
BL10718_cuf2 1 0
BL10940_cuf13 1 0
BL10987_cuf1 1 0
BL10993_cuf9 1 0
BL11036_cuf7 1 0
BL11086_cuf6 4 0
BL11241_cuf4 1 0
BL11264_evm19 5 0
BL11302_cuf1 1 0
BL11354_cuf0 1 0
BL11359_evm1 1 0
BL11380_cuf0 1 0
BL11399_evm0 1 0
BL11419_cuf1 20 0
BL11618_cuf0 1 0
BL11662_cuf1 1 0
BL11703_cuf0 1 0
BL11894_cuf0 1 0
BL12324_evm0 1 0
BL12329_cuf5 3 0
BL12351_cuf1 1 0
BL12371_cuf24 1 0
BL12450_evm1 0 1
BL12529_evm1 1 0
BL12625_evm1 1 0
BL12644_cuf18 1 0
BL12650_evm0 1 0
BL12706_cuf0 1 0
BL12757_cuf0 1 0
BL12845_evm0 1 0
BL12852_evm0 1 0
BL12936_cuf0 1 0
BL13028_cuf0 1 0
BL13090_cuf2 0 1
BL13161_evm0 2 0
BL13311_cuf0 1 0
BL13320_cuf1 0 1
BL13552_cuf0 0 2
BL13654_cuf0 1 0
BL13771_cuf0 1 0
BL13801_cuf0 1 0
BL13829_evm0 1 0
BL13988_cuf1 1 0
BL14132_cuf3 3 0
BL14206_evm0 1 0
BL14311_cuf1 1 0
BL14315_cuf1 1 0
BL14332_evm6 1 0
BL14403_cuf4 1 0
BL14422_evm0 2 0
BL14506_cuf4 1 0
BL14696_cuf0 10 0
BL14829_cuf2 2 0
