Transcript Sense_junction_reads Antisense_junction_reads
BL00004_cuf13 1 0
BL00020_cuf7 28 0
BL00036_cuf0 3 0
BL00061_evm1 1 0
BL00079_cuf1 2 0
BL00082_cuf0 2 0
BL00083_cuf2 1 0
BL00148_evm0 1 0
BL00174_cuf3 1 0
BL00177_cuf3 1 0
BL00200_evm4 2 0
BL00236_cuf2 2 0
BL00240_cuf0 3 0
BL00257_cuf6 1 0
BL00259_cuf8 1 0
BL00268_cuf6 3 0
BL00285_cuf0 2 0
BL00292_evm0 1 0
BL00358_cuf3 1 0
BL00360_evm2 0 8
BL00365_cuf0 1 0
BL00379_cuf1 3 0
BL00392_cuf0 1 0
BL00417_evm2 1 0
BL00550_cuf0 1 0
BL00621_cuf6 1 0
BL00627_cuf3 1 0
BL00631_cuf1 1 0
BL00664_cuf0 1 0
BL00687_cuf0 1 0
BL00715_cuf0 1 0
BL00729_cuf1 2 0
BL00789_cuf2 1 0
BL00795_cuf0 1 0
BL00796_cuf4 1 0
BL00815_evm4 1 0
BL00846_cuf0 1 0
BL00857_cuf5 1 0
BL00886_cuf3 1 0
BL00898_evm0 1 0
BL00953_evm0 1 0
BL00969_cuf0 1 0
BL00972_cuf4 1 0
BL00982_evm7 2 0
BL00994_cuf0 1 0
BL01000_cuf0 3 0
BL01005_cuf3 1 0
BL01009_cuf0 1 0
BL01044_evm8 2 0
BL01054_cuf5 1 0
BL01108_evm0 1 0
BL01150_cuf13 1 0
BL01153_cuf0 1 0
BL01161_evm0 1 0
BL01179_evm1 1 0
BL01184_evm8 2 0
BL01185_cuf6 1 0
BL01194_evm1 2 0
BL01236_cuf0 1 0
BL01237_cuf0 1 0
BL01239_cuf0 1 0
BL01253_evm0 4 0
BL01289_cuf0 1 0
BL01295_evm1 8 0
BL01321_evm3 1 0
BL01337_evm5 1 0
BL01348_cuf1 8 0
BL01354_cuf0 1 0
BL01386_cuf4 1 0
BL01429_cuf2 1 0
BL01471_cuf1 1 0
BL01474_cuf0 0 1
BL01483_cuf2 0 8
BL01498_cuf25 16 0
BL01510_cuf0 4 0
BL01530_evm0 3 0
BL01547_cuf0 1 0
BL01573_evm0 230 0
BL01587_evm4 1 0
BL01591_cuf0 1 0
BL01614_evm38 2 0
BL01633_cuf1 1 0
BL01642_cuf6 1 0
BL01644_cuf5 1 0
BL01691_evm0 65 0
BL01698_cuf0 1 0
BL01721_cuf2 2 0
BL01729_cuf0 1 0
BL01744_cuf0 5 0
BL01752_cuf1 1 0
BL01796_cuf1 1 0
BL01819_cuf0 1 0
BL01848_cuf5 2 0
BL01864_cuf6 1 0
BL01871_evm10 1 0
BL01872_evm1 1 0
BL01874_cuf0 3 0
BL01885_cuf1 2 0
BL01918_evm0 2 0
BL01928_cuf0 1 0
BL01951_evm7 1 0
BL01955_evm13 1 0
BL01992_cuf3 2 0
BL01994_cuf1 1 0
BL02009_evm0 1 0
BL02047_evm3 1 0
BL02049_cuf1 3 0
BL02076_cuf0 1 0
BL02148_cuf0 1 0
BL02156_evm0 1 0
BL02200_cuf0 1 0
BL02204_cuf1 1 0
BL02216_cuf0 1 0
BL02227_evm7 2 0
BL02235_cuf5 1 0
BL02249_cuf0 2 0
BL02267_cuf5 3 0
BL02326_cuf0 1 0
BL02385_evm4 2 0
BL02435_cuf5 1 0
BL02443_cuf14 2 0
BL02475_cuf1 2 0
BL02492_cuf0 1 0
BL02497_evm2 2 0
BL02498_evm18 1 0
BL02527_cuf1 17 0
BL02538_cuf12 1 0
BL02550_cuf0 2 0
BL02588_evm0 1 0
BL02603_cuf0 1 0
BL02614_cuf17 1 0
BL02618_evm1 49 0
BL02619_evm9 1 0
BL02627_cuf0 1 0
BL02643_cuf4 1 0
BL02714_cuf0 3 0
BL02719_cuf1 1 0
BL02726_cuf11 0 1
BL02729_evm0 2 0
BL02742_cuf4 1 0
BL02763_cuf1 2 0
BL02816_evm0 1 0
BL02826_evm1 1 0
BL02842_cuf0 1 0
BL02847_cuf0 1 0
BL02855_cuf0 1 0
BL02865_cuf0 1 0
BL02908_cuf1 1 0
BL02919_evm5 1 0
BL02932_cuf4 1 0
BL02935_evm0 1 0
BL02989_evm23 1 0
BL03006_cuf0 1 0
BL03015_cuf0 7 0
BL03026_evm1 1 0
BL03027_evm2 8 0
BL03028_cuf0 1 0
BL03046_evm1 3 0
BL03060_cuf2 9 0
BL03073_evm0 3 0
BL03088_cuf0 1 0
BL03097_cuf0 1 0
BL03103_cuf10 2 0
BL03126_cuf27 1 0
BL03136_cuf0 1 0
BL03155_cuf5 3 0
BL03167_cuf0 1 0
BL03195_cuf2 6 0
BL03196_evm0 7 0
BL03200_cuf6 1 0
BL03203_cuf0 1 0
BL03225_evm0 1 0
BL03249_evm1 1 0
BL03273_evm12 1 0
BL03302_cuf0 9 0
BL03311_evm1 1 0
BL03321_evm6 6 0
BL03356_cuf1 1 0
BL03379_cuf0 3 0
BL03385_cuf9 1 0
BL03389_cuf0 1 0
BL03410_cuf16 3 0
BL03439_cuf9 1 0
BL03451_cuf17 1 0
BL03545_cuf1 3 0
BL03547_cuf1 1 0
BL03577_evm0 2 0
BL03579_evm0 2 0
BL03591_cuf0 1 0
BL03598_cuf15 1 0
BL03611_evm0 2 0
BL03613_cuf2 16 0
BL03615_evm3 1 0
BL03625_evm16 3 0
BL03651_cuf2 1 0
BL03665_cuf0 1 0
BL03671_cuf0 3 0
BL03673_cuf1 20 0
BL03677_cuf0 1 0
BL03688_cuf1 4 0
BL03697_cuf0 1 0
BL03704_evm0 1 0
BL03769_cuf1 3 0
BL03784_cuf3 1 0
BL03796_cuf0 1 0
BL03798_cuf0 2 0
BL03810_cuf2 3 0
BL03815_evm21 1 0
BL03824_cuf5 2 0
BL03828_cuf0 1 0
BL03833_cuf0 2 0
BL03871_cuf0 1 0
BL03887_evm0 1 0
BL03899_evm10 2 0
BL03903_cuf0 1 0
BL03904_evm12 4 0
BL03917_evm0 1 0
BL03924_cuf0 1 0
BL03940_cuf1 12 0
BL03947_cuf1 3 0
BL03962_evm9 2 0
BL03990_cuf0 2 0
BL03995_cuf2 1 0
BL04003_cuf0 1 0
BL04054_cuf18 1 0
BL04072_cuf1 1 0
BL04077_evm0 2 0
BL04107_evm3 5 0
BL04114_evm1 1 0
BL04139_cuf3 1 0
BL04144_cuf0 1 0
BL04151_evm0 1 0
BL04194_cuf0 1 0
BL04197_evm0 1 0
BL04199_cuf5 1 0
BL04200_evm1 10 0
BL04211_cuf0 2 0
BL04216_cuf12 2 0
BL04274_evm0 1 0
BL04295_cuf5 1 0
BL04297_cuf29 2 0
BL04311_cuf0 1 0
BL04360_cuf0 143 0
BL04378_cuf1 8 0
BL04380_cuf0 4 0
BL04386_cuf2 1 0
BL04387_cuf0 5 0
BL04393_evm2 1 0
BL04403_cuf4 2 0
BL04409_evm0 7 1
BL04414_cuf1 1 0
BL04446_cuf8 1 0
BL04453_cuf1 1 0
BL04460_cuf1 2 0
BL04461_evm1 2 0
BL04462_cuf10 3 0
BL04484_evm0 16 0
BL04504_evm0 1 0
BL04528_evm0 2 0
BL04531_cuf2 2 0
BL04539_evm0 3 0
BL04552_cuf4 1 0
BL04561_cuf2 6 0
BL04583_cuf2 2 0
BL04584_cuf0 1 0
BL04632_cuf1 3 0
BL04657_cuf0 3 0
BL04678_cuf2 2 0
BL04709_evm0 1 0
BL04737_cuf1 2 0
BL04739_cuf1 1 0
BL04742_cuf1 1 0
BL04743_evm0 1 0
BL04752_cuf2 1 0
BL04774_cuf1 1 0
BL04778_cuf0 1 0
BL04814_cuf0 1 0
BL04841_cuf1 1 0
BL04852_evm1 5 0
BL04858_cuf2 1 0
BL04872_cuf2 2 0
BL04873_cuf1 1 0
BL04891_evm3 1 0
BL04892_cuf1 1 0
BL04907_cuf11 1 0
BL04935_evm0 1 0
BL04943_evm0 1 0
BL04952_cuf9 2 0
BL04953_cuf2 1 0
BL04998_cuf1 1 0
BL05003_cuf0 1 0
BL05013_cuf5 1 0
BL05067_cuf6 1 0
BL05073_cuf1 1 0
BL05075_cuf1 3 0
BL05078_evm11 4 0
BL05085_cuf0 1 0
BL05088_evm10 4 0
BL05107_evm8 1 0
BL05116_evm1 1 0
BL05136_evm3 1 0
BL05139_cuf4 3 0
BL05171_cuf0 1 0
BL05172_cuf1 4 0
BL05174_cuf0 1 0
BL05182_evm0 1 0
BL05199_evm4 2 0
BL05202_cuf1 0 1
BL05215_cuf0 1 0
BL05217_evm3 1 0
BL05222_evm10 1 0
BL05241_cuf0 1 0
BL05244_cuf0 1 0
BL05266_cuf4 2 0
BL05272_evm0 3 0
BL05280_cuf0 1 0
BL05286_cuf4 1 0
BL05329_evm0 1 0
BL05331_cuf0 9 0
BL05366_evm6 1 0
BL05384_cuf18 2 0
BL05385_cuf1 6 0
BL05397_evm8 1 0
BL05419_cuf8 10 0
BL05422_evm0 2 0
BL05423_cuf0 1 0
BL05425_cuf0 4 0
BL05432_cuf1 1 0
BL05445_cuf0 1 0
BL05463_evm0 1 0
BL05470_cuf0 1 0
BL05478_cuf0 2 0
BL05482_cuf0 2 0
BL05503_cuf3 6 0
BL05511_cuf0 1 0
BL05528_evm0 1 0
BL05546_evm0 1 0
BL05549_cuf1 1 0
BL05579_cuf2 2 0
BL05602_evm0 3 0
BL05604_cuf0 0 4
BL05605_cuf10 2 0
BL05611_evm10 1 0
BL05619_evm0 1 0
BL05621_cuf1 1 0
BL05635_evm0 2 0
BL05648_cuf30 1 0
BL05651_cuf0 1 0
BL05679_cuf11 1 0
BL05743_cuf0 1 0
BL05746_evm27 1 0
BL05763_cuf1 1 0
BL05775_cuf0 1 0
BL05814_cuf1 2 0
BL05828_cuf0 5 0
BL05839_cuf0 1 0
BL05851_cuf0 1 0
BL05867_cuf0 1 0
