Transcript Sense_junction_reads Antisense_junction_reads
BL00025_cuf0 1 0
BL00032_evm0 1 0
BL00073_evm0 0 1
BL00148_evm0 1 0
BL00279_cuf1 1 0
BL00314_evm0 1 0
BL00318_evm2 2 0
BL00339_cuf0 1 0
BL00499_cuf0 1 0
BL00505_evm0 1 0
BL00680_cuf1 1 0
BL00698_cuf0 1 0
BL00740_cuf0 1 0
BL00827_cuf2 1 0
BL01003_evm0 1 0
BL01114_evm0 1 1
BL01193_cuf9 1 0
BL01210_cuf1 1 0
BL01401_cuf1 0 2
BL01464_cuf0 1 0
BL01480_cuf4 2 0
BL01498_cuf25 1 0
BL01533_cuf1 1 0
BL01536_evm0 0 1
BL01543_cuf4 1 0
BL01554_cuf0 1 0
BL01567_evm2 2 0
BL01605_evm7 1 0
BL01614_evm38 1 0
BL01624_cuf2 1 0
BL01640_cuf3 1 0
BL01693_evm1 10 0
BL01699_evm0 1 0
BL01730_cuf0 2 0
BL01731_cuf1 1 0
BL01833_cuf0 1 0
BL02017_cuf1 1 0
BL02028_cuf0 1 0
BL02048_evm2 1 0
BL02111_evm0 3 0
BL02159_cuf1 1 0
BL02202_evm0 1 0
BL02235_cuf5 1 0
BL02270_cuf2 1 0
BL02427_evm0 1 0
BL02448_cuf0 1 0
BL02643_cuf4 1 0
BL02650_cuf12 1 0
BL02709_cuf0 1 0
BL02743_evm2 2 0
BL02762_cuf6 1 0
BL02828_evm0 1 0
BL02865_cuf0 1 0
BL03014_cuf0 1 0
BL03021_cuf0 1 0
BL03040_evm0 1 0
BL03195_cuf2 1 0
BL03196_evm0 1 0
BL03249_evm1 2 0
BL03352_evm0 1 0
BL03391_cuf0 1 0
BL03415_cuf0 1 0
BL03424_cuf0 1 0
BL03441_evm1 1 0
BL03536_evm0 2 0
BL03798_cuf0 1 0
BL03815_evm21 1 0
BL03827_cuf0 2 0
BL03904_evm12 1 0
BL03995_cuf2 2 0
BL04017_cuf2 2 0
BL04072_cuf1 1 0
BL04160_evm0 1 0
BL04169_cuf0 3 0
BL04189_evm0 1 0
BL04246_cuf1 1 0
BL04247_cuf0 1 0
BL04291_cuf0 1 0
BL04360_cuf0 4 0
BL04393_evm2 1 0
BL04406_evm3 3 0
BL04409_evm0 1 0
