Sample Library Reads Trimmed_reads Genome-matching_reads ncRNA-matching_reads
embryon_8h 1 21056718 20843841 16570164 7801244
embryon_8h 2 1581799 1566230 1049129 445902
embryon_8h 3 8094222 7379998 6195940 4941576
embryon_8h 4 88073 84618 19593 8611
embryon_15h 1 10498892 10401596 7625625 699690
embryon_15h 2 2825590 2796135 2135909 1401966
embryon_15h 3 11161990 11052718 9709770 8118254
embryon_15h 4 584036 574620 118806 63013
embryon_36h 1 18960547 18733742 14493967 5960470
embryon_36h 2 3850741 3543964 1908762 1291845
embryon_36h 3 9336314 9246234 8752087 8142669
embryon_36h 4 493993 480382 71854 28150
embryon_60h 1 11261613 11166549 9058854 4173203
embryon_60h 2 2684630 2655329 769165 522272
embryon_60h 3 8161398 8094039 7569629 6732475
embryon_60h 4 77963 69607 8279 4491
femelle 1 15592289 15419877 13080782 4147923
femelle 2 1757079 1607886 155968 97490
femelle 3 10986312 10814256 8853795 6655019
femelle 4 316969 312720 20791 9933
male 1 15188537 13599605 9794325 363935
male 2 9657574 9541672 4473753 1141048
male 3 9474390 8456629 2907731 2405887
male 4 2955162 2914259 205636 84973
